DATE,TIME,ax,ay,az,gx,gy,gz,ma,mg,label
23/10/2020, 15:55:12,-0.18920656,3.4631984,9.369317,-0.09079031,0.1744729,-0.011446816,9.990677881,0.197014472,crawl
23/10/2020, 15:55:12,-0.31135255,3.4967287,9.649534,-0.09079031,0.1744729,-0.011446816,10.26827943,0.197014472,crawl
23/10/2020, 15:55:12,-0.31135255,3.4967287,9.649534,-0.07857301,0.15981214,-0.015112006,10.26827943,0.178723278,crawl
23/10/2020, 15:55:12,-0.33769777,3.4703834,9.800421,-0.07857301,0.15981214,-0.015112006,10.40220399,0.178723278,crawl
23/10/2020, 15:55:12,-0.33769777,3.4703834,9.800421,-0.054138403,0.14026447,-0.03221623,10.40220399,0.153762715,crawl
23/10/2020, 15:55:12,-0.3784131,3.4440382,10.047108,-0.054138403,0.14026447,-0.03221623,10.62774521,0.153762715,crawl
23/10/2020, 15:55:12,-0.3784131,3.4440382,10.047108,-0.06879917,0.110942945,-0.038324878,10.62774521,0.136053147,crawl
23/10/2020, 15:55:12,0.82388675,3.4703834,10.825489,-0.06879917,0.110942945,-0.038324878,11.39796313,0.136053147,crawl
23/10/2020, 15:55:12,0.82388675,3.4703834,10.825489,0.035047885,0.15126003,-0.024885846,11.39796313,0.157249029,crawl
23/10/2020, 15:55:12,-1.3675562,2.8428884,11.5751295,0.035047885,0.15126003,-0.024885846,11.99732668,0.157249029,crawl
23/10/2020, 15:55:12,-1.3675562,2.8428884,11.5751295,0.039934807,-0.06376445,0.047196224,11.99732668,0.088815414,crawl
23/10/2020, 15:55:12,2.7542725,4.0523734,9.472302,0.039934807,-0.06376445,0.047196224,10.66453283,0.088815414,crawl
23/10/2020, 15:55:12,2.7542725,4.0523734,9.472302,0.19753799,0.03641741,0.06430045,10.66453283,0.210907639,crawl
23/10/2020, 15:55:12,0.6682105,3.915857,4.7972245,0.19753799,0.03641741,0.06430045,6.22846731,0.210907639,crawl
23/10/2020, 15:55:12,0.6682105,3.915857,4.7972245,-0.11644664,0.20623788,0.049639687,6.22846731,0.241987565,crawl
23/10/2020, 15:55:12,2.5985963,4.0356083,4.9361353,-0.11644664,0.20623788,0.049639687,6.885075803,0.241987565,crawl
23/10/2020, 15:55:12,2.5985963,4.0356083,4.9361353,-0.027260344,-0.031999473,0.055748336,6.885075803,0.069820982,crawl
23/10/2020, 15:55:12,3.7482057,4.150569,10.468631,-0.027260344,-0.031999473,0.055748336,11.86880361,0.069820982,crawl
23/10/2020, 15:55:12,3.7482057,4.150569,10.468631,0.1694382,-0.20059821,0.055748336,11.86880361,0.268434018,crawl
23/10/2020, 15:55:12,1.0657837,3.7003052,17.478853,0.1694382,-0.20059821,0.055748336,17.89800167,0.268434018,crawl
23/10/2020, 15:55:12,1.0657837,3.7003052,17.478853,-0.14698988,0.15492523,0.011766055,17.89800167,0.213883827,crawl
23/10/2020, 15:55:12,-4.773274,2.6129665,11.115286,-0.14698988,0.15492523,0.011766055,12.37583607,0.213883827,crawl
23/10/2020, 15:55:12,-4.773274,2.6129665,11.115286,0.24029854,0.23678114,0.047196224,12.37583607,0.340640834,crawl
