DATE,TIME,ax,ay,az,gx,gy,gz,lx,ly,lz,mx,my,mz,ma,mg,ml,mm
31/01/2020, 11:08:31,0.91729254,5.252278,8.258028,0.051694836,0.023435289,0.016377442,0.42223704,-0.42238903,0.21148968,-35.279953,-27.804428,-48.012543,9.829693544120774,0.05907444018077786,0.6335806921657774,65.74926284584505
31/01/2020, 11:08:31,1.089734,5.230723,8.217313,0.051694836,0.023435289,0.016377442,0.42223704,-0.42238903,0.21148968,-35.279953,-27.804428,-48.012543,9.801643334860799,0.05907444018077786,0.6335806921657774,65.74926284584505
31/01/2020, 11:08:31,1.089734,5.230723,8.217313,0.051694836,0.023435289,0.016377442,0.38926357,-0.28377056,0.39396763,-35.279953,-27.804428,-48.012543,9.801643334860799,0.05907444018077786,0.6223040662513483,65.74926284584505
31/01/2020, 11:08:31,1.089734,5.230723,8.217313,0.051694836,0.023435289,0.016377442,0.38926357,-0.28377056,0.39396763,-35.663925,-27.794235,-47.799866,9.801643334860799,0.05907444018077786,0.6223040662513483,65.7971293727299
31/01/2020, 11:08:31,1.089734,5.230723,8.217313,0.051694836,0.023435289,0.016377442,0.32491165,-0.47991657,0.5537081,-35.663925,-27.794235,-47.799866,9.801643334860799,0.05907444018077786,0.8015485846073965,65.7971293727299
31/01/2020, 11:08:31,1.0873389,5.1900077,8.305928,0.051694836,0.023435289,0.016377442,0.32491165,-0.47991657,0.5537081,-35.663925,-27.794235,-47.799866,9.854284828962037,0.05907444018077786,0.8015485846073965,65.7971293727299
31/01/2020, 11:08:31,1.0801538,5.2834134,8.368198,0.051694836,0.023435289,0.016377442,0.32491165,-0.47991657,0.5537081,-35.663925,-27.794235,-47.799866,9.955296777012016,0.05907444018077786,0.8015485846073965,65.7971293727299
31/01/2020, 11:08:31,1.0801538,5.2834134,8.368198,0.051694836,0.023435289,0.016377442,0.32491165,-0.47991657,0.5537081,-35.663925,-27.794235,-47.799866,9.955296777012016,0.05907444018077786,0.8015485846073965,65.7971293727299
31/01/2020, 11:08:31,1.0801538,5.2834134,8.368198,0.051694836,0.023435289,0.016377442,0.18363559,-0.3682723,0.31039715,-35.663925,-27.794235,-47.799866,9.955296777012016,0.05907444018077786,0.515454082023319,65.7971293727299
31/01/2020, 11:08:31,1.0106983,5.2834134,8.473579,0.051694836,0.023435289,0.016377442,0.18363559,-0.3682723,0.31039715,-35.663925,-27.794235,-47.799866,10.036808074095154,0.05907444018077786,0.515454082023319,65.7971293727299
31/01/2020, 11:08:31,0.9484278,5.3073635,8.538245,0.051694836,0.023435289,0.016377442,0.18363559,-0.3682723,0.31039715,-35.663925,-27.794235,-47.799866,10.09798266129858,0.05907444018077786,0.515454082023319,65.7971293727299
31/01/2020, 11:08:31,0.9484278,5.3073635,8.538245,0.051694836,0.023435289,0.016377442,0.18363559,-0.3682723,0.31039715,-35.285797,-27.80539,-48.358994,10.09798266129858,0.05907444018077786,0.515454082023319,66.00620738626607
31/01/2020, 11:08:31,0.9484278,5.3073635,8.538245,0.005269098,-0.0022210425,-0.032491762,0.18363559,-0.3682723,0.31039715,-35.285797,-27.80539,-48.358994,10.09798266129858,0.032991075079647124,0.515454082023319,66.00620738626607
31/01/2020, 11:08:31,0.9484278,5.3073635,8.538245,0.005269098,-0.0022210425,-0.032491762,0.38889652,-0.37270308,0.20101929,-35.285797,-27.80539,-48.358994,10.09798266129858,0.032991075079647124,0.5749407302438455,66.00620738626607
31/01/2020, 11:08:31,1.0154883,5.398374,8.389753,0.005269098,-0.0022210425,-0.032491762,0.38889652,-0.37270308,0.20101929,-35.285797,-27.80539,-48.358994,10.028041696620829,0.032991075079647124,0.5749407302438455,66.00620738626607
31/01/2020, 11:08:31,1.1496094,5.364844,8.250843,0.005269098,-0.0022210425,-0.032491762,0.38889652,-0.37270308,0.20101929,-35.285797,-27.80539,-48.358994,9.908560055276793,0.032991075079647124,0.5749407302438455,66.00620738626607
31/01/2020, 11:08:31,1.1496094,5.364844,8.250843,0.005269098,-0.0022210425,-0.032491762,0.38889652,-0.37270308,0.20101929,-35.21086,-27.591385,-48.344467,9.908560055276793,0.032991075079647124,0.5749407302438455,65.86559627131362
31/01/2020, 11:08:31,1.2454102,5.2594633,8.210127,0.005269098,-0.0022210425,-0.032491762,0.38889652,-0.37270308,0.20101929,-35.21086,-27.591385,-48.344467,9.829505797419545,0.032991075079647124,0.5749407302438455,65.86559627131362
31/01/2020, 11:08:31,1.3220508,5.1612673,8.229287,0.005269098,-0.0022210425,-0.032491762,0.38889652,-0.37270308,0.20101929,-35.21086,-27.591385,-48.344467,9.803451700385624,0.032991075079647124,0.5749407302438455,65.86559627131362
31/01/2020, 11:08:31,1.3220508,5.1612673,8.229287,0.005269098,-0.0022210425,-0.032491762,0.37867826,-0.32055187,0.35223007,-35.21086,-27.591385,-48.344467,9.803451700385624,0.032991075079647124,0.608454396590075,65.86559627131362
31/01/2020, 11:08:32,1.0801538,3.4512234,6.7874856,-1.5170065,-0.64362925,0.84104526,-0.32288492,0.11995602,-0.5745592,-37.30246,-21.604813,-47.552284,7.69075001660941,1.850114730568027,0.6698973081619757,64.1830286436259
31/01/2020, 11:08:32,1.0801538,3.4512234,6.7874856,-1.5170065,-0.64362925,0.84104526,-0.31093097,-0.20349431,-0.80773926,-37.30246,-21.604813,-47.552284,7.69075001660941,1.850114730568027,0.8891179389785554,64.1830286436259
31/01/2020, 11:08:32,0.79993653,3.168611,6.466553,-1.5170065,-0.64362925,0.84104526,-0.31093097,-0.20349431,-0.80773926,-37.30246,-21.604813,-47.552284,7.245433380702807,1.850114730568027,0.8891179389785554,64.1830286436259
31/01/2020, 11:08:32,0.73527104,2.9602442,6.023474,-1.5170065,-0.64362925,0.84104526,-0.31093097,-0.20349431,-0.80773926,-37.30246,-21.604813,-47.552284,6.751733905570143,1.850114730568027,0.8891179389785554,64.1830286436259
31/01/2020, 11:08:32,0.73527104,2.9602442,6.023474,-1.5170065,-0.64362925,0.84104526,-0.31093097,-0.20349431,-0.80773926,-37.759552,-20.584106,-47.562195,6.751733905570143,1.850114730568027,0.8891179389785554,64.12216139555106
31/01/2020, 11:08:32,0.73527104,2.9602442,6.023474,-1.5170065,-0.64362925,0.84104526,-0.6675794,-0.016394854,-1.5686669,-37.759552,-20.584106,-47.562195,6.751733905570143,1.850114730568027,1.704889150655862,64.12216139555106
31/01/2020, 11:08:32,0.9580079,2.5123756,6.0282645,-1.5170065,-0.64362925,0.84104526,-0.6675794,-0.016394854,-1.5686669,-37.759552,-20.584106,-47.562195,6.6007411218827,1.850114730568027,1.704889150655862,64.12216139555106
31/01/2020, 11:08:32,1.104104,1.9303858,5.949229,-1.5170065,-0.64362925,0.84104526,-0.6675794,-0.016394854,-1.5686669,-37.759552,-20.584106,-47.562195,6.3512800333557315,1.850114730568027,1.704889150655862,64.12216139555106
31/01/2020, 11:08:32,1.104104,1.9303858,5.949229,-1.5170065,-0.64362925,0.84104526,-0.6675794,-0.016394854,-1.5686669,-37.989822,-19.065903,-47.284897,6.3512800333557315,1.850114730568027,1.704889150655862,63.581418050912355
31/01/2020, 11:08:32,1.2741505,1.453777,6.5479836,-1.5170065,-0.64362925,0.84104526,-0.6675794,-0.016394854,-1.5686669,-37.989822,-19.065903,-47.284897,6.8273726090774245,1.850114730568027,1.704889150655862,63.581418050912355
