DATE,TIME,ax,ay,az,gx,gy,gz,ma,mg
28/07/2020, 17:48:06,-1.6166383,4.9505057,8.408914,0.13683376,0.102625325,0.080634184,9.890948112,0.189096024
28/07/2020, 17:48:06,-1.7292042,5.144502,8.372989,0.13683376,0.102625325,0.080634184,9.978125544,0.189096024
28/07/2020, 17:48:06,-1.7292042,5.144502,8.372989,0.0855211,0.10751224,0.09162975,9.978125544,0.16513253
28/07/2020, 17:48:06,-1.7363893,5.1540823,8.303533,0.0855211,0.10751224,0.09162975,9.926140525,0.16513253
28/07/2020, 17:48:06,-1.7363893,5.1540823,8.303533,0.05009093,0.10506878,0.12950338,9.926140525,0.174125462
28/07/2020, 17:48:06,-1.6621436,5.132527,8.195757,0.05009093,0.10506878,0.12950338,9.812032653,0.174125462
28/07/2020, 17:48:06,-1.6621436,5.132527,8.195757,0.03787363,0.102625325,0.1624901,9.812032653,0.195881091
28/07/2020, 17:48:06,-1.5639478,5.0750465,8.183782,0.03787363,0.102625325,0.1624901,9.755834754,0.195881091
28/07/2020, 17:48:06,-1.5639478,5.0750465,8.183782,0.04520401,0.102625325,0.17837258,9.755834754,0.210694414
28/07/2020, 17:48:06,-1.6525636,5.0271463,8.032896,0.04520401,0.102625325,0.17837258,9.619281964,0.210694414
28/07/2020, 17:48:06,-1.6525636,5.0271463,8.032896,0.047647472,0.09896013,0.17592913,9.619281964,0.207399247
28/07/2020, 17:48:06,-1.6477735,5.079837,7.9849954,0.047647472,0.09896013,0.17592913,9.606250615,0.207399247
28/07/2020, 17:48:06,-1.6477735,5.079837,7.9849954,0.05986477,0.095294945,0.16004664,9.606250615,0.195652353
28/07/2020, 17:48:07,-1.6884888,5.0367265,7.9802055,0.05986477,0.095294945,0.16004664,9.586620288,0.195652353
28/07/2020, 17:48:07,-1.6884888,5.0367265,7.9802055,0.09285148,0.09285148,0.13683376,9.586620288,0.189647759
28/07/2020, 17:48:07,-1.6238233,4.91937,7.9826,0.09285148,0.09285148,0.13683376,9.516244591,0.189647759
28/07/2020, 17:48:07,-1.6238233,4.91937,7.9826,0.13683376,0.0977384,0.109955706,9.516244591,0.200914233
28/07/2020, 17:48:07,-1.587898,4.8594947,7.951465,0.13683376,0.0977384,0.109955706,9.453142675,0.200914233
28/07/2020, 17:48:07,-1.587898,4.8594947,7.951465,0.1869247,0.10018186,0.09407321,9.453142675,0.232006502
28/07/2020, 17:48:07,-1.6836988,5.029541,7.9538603,0.1869247,0.10018186,0.09407321,9.560074152,0.232006502
28/07/2020, 17:48:07,-1.6836988,5.029541,7.9538603,0.18936816,0.10384705,0.07574726,9.560074152,0.228871484
28/07/2020, 17:48:07,-1.7818946,5.3001785,7.95865,0.18936816,0.10384705,0.07574726,9.726620804,0.228871484
28/07/2020, 17:48:07,-1.7818946,5.3001785,7.95865,0.11484262,0.117286086,0.047647472,9.726620804,0.170924357
28/07/2020, 17:48:07,-1.7842896,5.415139,7.8700347,0.11484262,0.117286086,0.047647472,9.71827495,0.170924357
28/07/2020, 17:48:07,-1.7842896,5.415139,7.8700347,0.00488692,0.13194685,0.03420844,9.71827495,0.136396736
28/07/2020, 17:48:07,-1.7268091,5.376819,7.8652444,0.00488692,0.13194685,0.03420844,9.68267128,0.136396736
28/07/2020, 17:48:07,-1.7268091,5.376819,7.8652444,-0.06841688,0.14172068,0.047647472,9.68267128,0.164425979
28/07/2020, 17:48:07,-1.7387843,5.249883,7.90117,-0.06841688,0.14172068,0.047647472,9.644331396,0.164425979
28/07/2020, 17:48:07,-1.7387843,5.249883,7.90117,-0.09040802,0.14294241,0.08185591,9.644331396,0.187900328
28/07/2020, 17:48:07,-1.8633252,5.1876125,7.9347,-0.09040802,0.14294241,0.08185591,9.661406162,0.187900328
28/07/2020, 17:48:07,-1.8633252,5.1876125,7.9347,-0.080634184,0.13316858,0.11362089,9.661406162,0.192731546
